imdbid,title,id,year,rating
7507,"Vagabond, The",5368,1916,0
6864,Intolerance: Love&#39;s Struggle Throughout the Ages,5944,1916,0
279914,Lady Windermere&#39;s Fan,2014,1916,3
7361,Snow White,7004,1916,3
6745,Gretchen the Greenhorn,2008,1916,3
8519,A Romance of the Redwoods,2015,1917,0
8489,"Raffles, the Amateur Cracksman",2019,1917,2
8443,"Poor Little Rich Girl, The",1994,1917,3
8652,A Tale of Two Cities,1981,1917,3
8499,Rebecca of Sunnybrook Farm,1993,1917,3
10281,Ich mochte kein Mann sein,7108,1918,3
9652,Stella Maris,2007,1918,3
8844,Are Crooks Dishonest?,5441,1918,0
9682,Tarzan of the Apes,1996,1918,3
10879,When the Clouds Roll by,2018,1919,3
9968,Broken Blossoms or The Yellow Man and the Girl,2588,1919,0
11588,Pollyanna,1991,1920,3
11870,Within Our Gates,5948,1920,3
10323,"Cabinet of Dr. Caligari, The",1306,1920,0
12364,K&ouml;rkarlen (The Phantom Carriage),5898,1921,2
11979,"Blot, The",4204,1921,3
12532,Orphans of the Storm,1263,1921,3
12349,"Kid, The",3945,1921,0
13257,H&auml;xan: Witchcraft Through the Ages,3800,1922,3
13428,Nathan der Weise,1778,1922,2
13427,Nanook of the North,5901,1922,1
13496,"Phantom, The",1631,1922,2
13367,"Man from Beyond, The",2001,1922,1
13442,"Nosferatu, eine Symphonie des Grauens",1307,1922,2
13140,Foolish Wives,5958,1922,3
13086,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",5967,1922,3
12543,"Paleface, The",5361,1922,0
14341,Our Hospitality,5949,1923,0
14611,Why Worry?,1967,1923,0
14469,"Silent Command, The",1998,1923,2
14429,Safety Last!,1961,1923,0
13626,La souriante Madame Beudet,5888,1923,3
13845,Help!,6209,1924,0
15324,Sherlock Jr.,2011,1924,0
15175,Die Nibelungen,1337,1924,2
15400,"Thief of Bagdad, The",1264,1924,0
1764657,"Great White Silence, The",2413,1924,0
15163,"Navigator, The",2009,1924,0
15498,Wild Oranges,1960,1924,0
14945,Girl Shy,2016,1924,0
15116,Manhandled,2020,1924,3
15174,Kriemhild&#39;s Revenge,1338,1924,2
15361,Stachka,5991,1925,0
16220,"Phantom of the Opera, The",1305,1925,2
15864,"Gold Rush, The",1309,1925,0
15863,Go West,1978,1925,0
16332,Seven Chances,3077,1925,0
15648,Battleship Potemkin,1308,1925,0
16039,"Lost World, The",5514,1925,2
15624,"Big Parade, The",5962,1925,2
15841,"Freshman, The",2012,1925,0
15532,Die Abenteuer des Prinzen Achmed,5974,1926,1
16884,Flesh and the Devil,1260,1926,1
16895,For Heaven&#39;s Sake,1966,1926,0
17410,So&#39;s Your Old Man,3217,1926,3
17925,"General, The",1310,1926,0
17449,"Temptress, The",1334,1926,1
18037,"Jazz Singer, The",5975,1927,1
18455,Sunrise: A Song of Two Humans,1632,1927,2
18199,Nevada,1982,1927,0
18183,My Best Girl,2010,1927,3
18192,Abel Gance&#39;s Napoleon,1312,1927,2
18033,It,1227,1927,3
17136,Metropolis,1267,1927,1
18528,"Unknown, The",1311,1927,0
17825,Downhill [When Boys Leave Home],7324,1927,1
18051,"Kid Brother, The",1964,1927,0
18578,Wings,3118,1927,2
18806,"Crowd, The",5912,1928,1
19412,Speedy,1963,1928,0
19421,"Steamboat Bill, Jr.",1971,1928,0
19290,"Power of the Press, The",1979,1928,1
18742,"Cameraman, The",1970,1928,0
18684,Beggars of Life,1977,1928,0
19258,"Patsy, The",2013,1928,3
19571,While the City Sleeps,2017,1928,2
19130,"Man Who Laughs, The",2021,1928,2
18839,"Docks of New York, The",5984,1928,2
18773,"Circus, The",1968,1928,0
19304,"Racket, The",1972,1928,0
18937,A Girl in Every Port,1980,1928,0
19254,"Passion of Joan of Arc, The",1314,1928,0
19702,Blackmail,5979,1929,2
20530,Un chien andalou,1313,1929,0
19760,Man with a Movie Camera,3897,1929,0
21015,Juno and the Paycock [The Shame of Mary Boyle],7287,1929,3
20572,Welcome Danger,1962,1929,0
18737,Pandora&#39;s Box (Die B&uuml;chse der Pandora),2324,1929,3
20286,Throw of the Dice,6046,1929,0
19777,"Cocoanuts, The",1953,1929,2
20629,All Quiet on the Western Front,1316,1930,0
21156,Morocco,3865,1930,1
21577,L&#39;Age d&#39;Or,3871,1930,0
21165,Murder!,7291,1930,3
20697,"Blue Angel, The",1315,1930,1
20668,"Bat Whispers, The",6782,1930,3
20641,Anna Christie,1326,1930,3
20670,Be Yourself,4253,1930,2
21148,Min and Bill,3927,1930,3
21040,Ladies of Leisure,3713,1930,3
22599,A Nous la Liberte,6031,1931,1
22458,Tabu: A Story of the South Seas,1633,1931,0
22100,M,610,1931,3
21884,Frankenstein,1317,1931,1
23196,Mata Hari,1333,1931,3
21739,La Chienne,6030,1931,3
21079,Little Caesar,6043,1931,1
23395,Rich and Strange [East of Shanghai],7296,1931,2
22251,Pardon Us,1974,1931,0
22158,Monkey Business,2384,1931,1
21735,"Cheat, The",5741,1931,3
21814,Dracula,1985,1931,2
20642,Anna Christie,1327,1931,3
22183,M&auml;dchen in Uniform,628,1931,3
22208,Night Nurse,636,1931,3
22000,Indiscreet,1828,1931,3
22286,"Public Enemy, The",5934,1931,3
22395,"Skin Game, The",7294,1931,3
22054,"Last Flight, The",1956,1931,0
21749,City Lights,2705,1931,3
22074,"Smiling Lieutenant, The",4243,1931,2
22694,"Blue Light (Das Blaue Licht), The",6990,1932,1
23458,Shanghai Express,5929,1932,3
23582,Thirteen Women,6852,1932,3
23285,Number 17,7301,1932,0
22614,"Age of Consent, The",1983,1932,2
23213,Merrily We Go to Hell,5742,1932,3
23158,Love Me Tonight,6052,1932,2
22940,"Girl from Calgary, The",5783,1932,2
22958,Grand Hotel,1328,1932,3
23293,"Old Dark House, The",4775,1932,3
23649,Vampyr,5910,1932,3
23590,Three on a Match,6051,1932,3
23427,Scarface,6063,1932,1
23385,Red-Headed Woman,6092,1932,3
23027,Horse Feathers,2383,1932,1
22913,Freaks,3659,1932,2
23935,"Death Kiss, The",6176,1932,1
24188,Island of Lost Souls,3844,1932,1
23042,I Am a Fugitive from a Chain Gang,1318,1932,1
22718,Boudu Saved from Drowning,2767,1932,1
23634,"I Was Born, But...",3530,1932,1
23238,"Most Dangerous Game, The",3658,1932,0
23694,White Zombie,2550,1932,0
24069,Gold Diggers of 1933,5916,1933,3
24184,"Invisible Man, The",7450,1933,1
24432,"Peanut Vendor, The",6205,1933,0
24008,Female,6056,1933,3
23775,Baby Face,7528,1933,3
24473,"Private Life of Henry VIII., The",1248,1933,1
23753,Alice in Wonderland,3188,1933,3
24028,Footlight Parade,802,1933,3
24264,Little Women,2231,1933,3
23969,Duck Soup,5185,1933,1
23932,Day of Reckoning,5029,1933,3
24679,Tomorrow at Seven,5752,1933,3
24727,"Vanpire Bat, The",3210,1933,3
24625,A Study in Scarlet,6193,1933,3
24481,Queen Christina,1330,1933,3
24034,42nd Street,4335,1933,3
24216,King Kong,2229,1933,0
25746,"Scarlet Empress, The",1325,1934,3
25617,"Painted Veil, The",1329,1934,1
25424,Lost in the Stratosphere,5523,1934,2
25822,Spitfire,4443,1934,3
25091,Evelyn Prentice,6772,1934,3
25452,"Man Who Knew Too Much, The",7304,1934,3
24831,Anne of Green Gables,5319,1934,3
24961,"Cat&#39;s-Paw, The",1324,1934,1
25316,It Happened One Night,621,1934,3
25423,"Lost Patrol, The",1969,1934,0
25755,Search for Beauty,5821,1934,3
25004,"Count of Monte Cristo, The",1246,1934,1
24991,Cleopatra,1270,1934,1
25586,Of Human Bondage,1379,1934,1
25465,Maniac,4702,1934,3
24844,L&#39;atalante,1795,1934,0
26071,Anna Karenina,1261,1935,2
26599,"Lady in Scarlet, The",5750,1935,2
26768,Naughty Marietta,1685,1935,3
26752,Mutiny on the Bounty,1361,1935,1
26667,Magnificent Obsession,2756,1935,3
26138,"Bride of Frankenstein, The",3891,1935,3
26939,"Riverside Murder, The",5913,1935,2
26029,"39 Steps, The",1242,1935,3
27125,Top Hat,595,1935,2
26942,Roberta,2362,1935,3
26778,A Night At The Opera,3881,1935,1
27438,"Charge of the Light Brigade, The",1237,1936,1
28000,Murder at Glen Athol,6174,1936,3
28231,Secret Agent,7308,1936,3
27407,Bullets or Ballots,4143,1936,3
27562,Earthworm Tractors,2699,1936,1
28096,"Petrified Forest, The",1369,1936,3
29207,"Mandarin Mystery, The",3548,1936,3
27752,"Only Son, The",3560,1936,3
28683,Camille,3598,1936,3
28021,Osaka Elegy,2853,1936,3
28212,Sabotage,5926,1936,3
28356,These Three,7227,1936,2
28010,My Man Godfrey,5852,1936,2
28333,Swing Time,596,1936,1
27387,Born to Dance,2363,1936,3
27977,Modern Times,1323,1936,0
28505,Wife vs. Secretary,1360,1936,2
28092,Pennies from Heaven,4010,1936,3
28355,Theodora Goes Wild,3280,1936,3
27652,Fury,6096,1936,2
3427056,Il caso Valdemar,6210,1936,0
27698,"Great Ziegfeld, The",3401,1936,3
27996,Mr. Deeds Goes to Town,1992,1936,3
28216,San Francisco,1359,1936,1
28174,Revolt of the Zombies,2554,1936,0
28203,Romeo and Juliet,4069,1936,3
29811,"Girl Was Young, The",7317,1937,3
29377,Parnell,1358,1937,2
29442,"Prisoner of Zenda, The",1240,1937,1
29087,Knight Without Armor,1244,1937,2
29565,Murder at the Baskervilles (Silver Blaze),5617,1937,1
29546,Shall We Dance,597,1937,1
28739,Conquest,1332,1937,2
29162,Lost Horizon,1336,1937,2
29192,Make Way for Tomorrow,4255,1937,3
29322,Nothing Sacred,3968,1937,0
28597,"Awful Truth, The",6554,1937,3
29682,Topper,1335,1937,2
29453,Pepe le Moko,5740,1937,2
29608,Stella Dallas,795,1937,3
29583,Snow White and the Seven Dwarfs,1976,1937,3
28772,A Day at the Races,2382,1937,2
29604,Stage Door,631,1937,3
29947,Bringing Up Baby,3400,1938,3
29971,Carefree,594,1938,2
30755,"Sisters, The",1378,1938,2
29942,Boys Town,2467,1938,0
29843,"Adventures of Robin Hood, The",3103,1938,2
30149,Four Daughters,3951,1938,3
30127,"Baker&#39;s Wife, The",6042,1938,1
30341,"Lady Vanishes, The",620,1938,3
29870,Angels with Dirty Faces,7290,1938,1
30396,"Mad Miss Manton, The",4495,1938,3
30044,"Dawn Patrol, The",1238,1938,0
30241,Holiday,994,1938,3
30287,Jezebel,1367,1938,2
29929,Bluebeard&#39;s Eighth Wife,3283,1938,2
30473,"Mr. Wong, Detective",2590,1938,1
31385,"Goodbye, Mr. Chips",1245,1939,2
31225,Destry Rides Again,5634,1939,3
31210,Dark Victory,1370,1939,3
32155,Young Mr. Lincoln,1382,1939,2
31505,Jamaica Inn,7322,1939,3
31971,Stagecoach,593,1939,3
31060,At the Circus,2372,1939,2
31981,"Story of Alexander Graham Bell, The",1385,1939,2
31066,Babes in Arms,3723,1939,3
32145,Wuthering Heights,1239,1939,2
32138,"Wizard of Oz, The",174,1939,3
31725,Ninotchka,1259,1939,3
31322,"Flying Deuces, The",1973,1939,0
32143,"Women, The",588,1939,3
31885,"Rules of the Game, The",3089,1939,3
31381,Gone with the Wind,291,1939,3
31516,Juarez,1368,1939,2
31252,Drums Along the Mohawk,1384,1939,2
31387,"Gorilla, The",2555,1939,3
31679,Mr. Smith Goes to Washington,5946,1939,2
31022,"Adventures of Sherlock Holmes, The",5863,1939,3
31826,Essex and Elizabeth,1371,1939,2
31455,"Hunchback of Notre Dame, The",2086,1939,0
31507,Jesse James,1383,1939,2
31709,Nancy Drew... Reporter,5763,1939,3
31742,Of Mice and Men,2851,1939,1
31235,Dodge City,383,1939,2
31680,Mr. Wong in Chinatown,2622,1939,1
33152,"Thief of Bagdad, The",1265,1940,0
32339,A Chump at Oxford,1975,1940,0
32211,Anne Of Windy Poplars,5320,1940,3
32976,Rebecca,618,1940,3
32983,"Return of Frank James, The",1366,1940,0
32946,Primrose Path,4354,1940,3
32406,Chamber of Horrors / Door with the Seven Locks,4363,1940,2
32904,"Philadelphia Story, The",4943,1940,3
33105,Strange Cargo,1357,1940,0
32194,"All This, and Heaven Too",1373,1940,2
32215,"Ape, The",2556,1940,3
32811,"Mortal Storm, The",1501,1940,3
32910,Pinocchio,478,1940,1
31359,Gaslight,5773,1940,3
32690,"Last Alarm, The",5802,1940,3
32484,Foreign Correspondent,7311,1940,1
33021,Santa Fe Trail,2678,1940,1
33028,"Sea Hawk, The",3050,1940,3
32553,"Great Dictator, The",3470,1940,3
32273,Boom Town,1356,1940,1
32701,"Letter, The",1380,1940,2
32455,Fantasia,5039,1940,0
32599,His Girl Friday,3033,1940,3
32349,Comrade X,1355,1940,2
32943,Pride and Prejudice,4257,1940,3
32551,"Grapes of Wrath, The",1387,1940,3
32376,"Dance, Girl, Dance",4415,1940,3
33802,Ladies In Retirement,6318,1941,1
33928,Murder by Invitation,6171,1941,3
33533,"Devil and Miss Jones, The",1682,1941,3
33717,High Sierra,2410,1941,1
33804,"Lady Eve, The",1386,1941,2
33459,Cheers for Miss Bishop,2446,1941,3
33627,49th Parallel,2867,1941,0
33563,Dumbo,1117,1941,2
33436,Buck Privates,2906,1941,3
33723,Hold That Ghost,2910,1941,3
33727,Mr. Bug Goes to Town,1941,1941,1
34248,Suspicion,7329,1941,3
34328,Two-Faced Woman,1331,1941,2
33836,"Little Foxes, The",1372,1941,2
34398,"Wolf Man, The",2436,1941,2
33870,"Maltese Falcon, The",1230,1941,1
33467,Citizen Kane,1266,1941,1
33902,Men of Boys Town,2468,1941,1
34240,Sullivan&#39;s Travels,4359,1941,3
34175,"Shanghai Gesture, The",1512,1941,3
33891,Meet John Doe,3717,1941,3
34591,There Was a Father,3789,1942,0
35015,"Magnificent Ambersons, The",1289,1942,2
34587,Cat People,2708,1942,3
34882,I Married an Angel,1686,1942,3
35019,"Major and the Minor, The",681,1942,3
34613,"Corpse Vanishes, The",7697,1942,1
35093,Mrs. Miniver,6384,1942,3
35446,To Be or Not to Be,5303,1942,0
35415,Tales of Manhattan,3875,1942,2
34521,Black Dragons,3518,1942,0
35140,"Now, Voyager",689,1942,3
34583,Casablanca,1076,1942,1
34492,Bambi,1116,1942,1
36326,Saludos Amigos,7696,1942,0
35279,Saboteur,5939,1942,1
35360,Son of Fury: The Story of Benjamin Blake,1388,1942,1
35317,Sherlock Holmes and the Secret Weapon,5859,1942,1
35567,Woman of the Year,4870,1942,3
34746,For Me and My Gal,1675,1942,3
33874,"Man Who Came to Dinner, The",4475,1942,3
36244,"Ox-Bow Incident, The",6310,1943,1
36172,"More the Merrier, The",7410,1943,1
36969,Jane Eyre,6781,1943,3
36506,Day of Wrath,3753,1943,3
36027,I Walked with a Zombie,1955,1943,3
36363,"Sky&#39;s the Limit, The",1959,1943,1
36323,Sahara,1987,1943,0
36230,Old Acquaintance,1374,1943,3
36342,Shadow of a Doubt,4617,1943,3
36400,Judo Saga (Sanshiro Sugata),4699,1943,0
35017,La main du diable,7475,1943,1
35770,Cry &#39;Havoc&#39;,5209,1943,3
36367,So Proudly We Hail!,6315,1943,3
35957,Guadalcanal Diary,1988,1943,0
36112,"Life and Death of Colonel Blimp, The",3839,1943,2
35942,Girl Crazy,1691,1943,1
36418,Tender Comrade,2407,1943,3
35753,Le Corbeau: The Raven,3890,1943,3
36515,Watch on the Rhine,1375,1943,3
35881,Fires Were Started,5554,1943,0
37017,Lifeboat,5983,1944,3
37076,Minstrel Man,6420,1944,1
37382,To Have and Have Not,3245,1944,3
37008,Laura,2715,1944,3
37120,National Velvet,4222,1944,3
36613,Arsenic and Old Lace,201,1944,3
37059,Meet Me in St. Louis,1676,1944,3
36723,Cover Girl,3134,1944,3
37094,Mr. Skeffington,1376,1944,2
36947,"Most Beautiful (Ichiban utsukushiku), The",4698,1944,3
37469,Window in the Window,2181,1944,1
38166,"Three Caballeros, The",6319,1944,0
36695,A Canterbury Tale,6515,1944,3
36891,Hail the Conquering Hero,1683,1944,2
36914,Torment,2045,1944,0
37280,Since You Went Away,3154,1944,3
36775,Double Indemnity,1416,1944,3
36940,I&#39;ll Be Seeing You,3279,1944,3
37635,Dead of Night,7185,1945,3
37843,Keep Your Powder Dry,5677,1945,3
38109,Spellbound,4252,1945,3
37671,"Enchanted Cottage, The",2434,1945,3
38057,Scarlet Street,5081,1945,3
37638,Detour,3999,1945,1
37800,I Know Where I&#39;m Going,1213,1945,3
38017,"Red Dragon, The",6945,1945,1
38924,"Seventh Veil, The",1280,1945,3
37674,Children of Paradise,5129,1945,2
37514,Anchors Aweigh,6017,1945,0
38259,"Woman in Green, The",5856,1945,3
37508,Along Came Jones,1639,1945,0
37954,"Objective, Burma!",3271,1945,0
38890,"Rome, Open City",4428,1945,3
37558,Brief Encounter,1544,1945,3
37365,Thin Man Goes Home,6848,1945,2
37820,Isle of the Dead,2004,1945,3
37884,"Lost Weekend, The",3583,1945,2
37913,Mildred Pierce,794,1945,3
38453,"Dark Corner, The",5961,1946,1
38969,Song of the South,5646,1946,2
38787,Notorious,622,1946,2
38990,"Strange Woman, The",3145,1946,3
36868,"Best Years of Our Lives, The",3982,1946,2
38661,"Jolson Story, The",2654,1946,1
38348,Beauty and the Beast,1268,1946,3
38461,Deception,1377,1946,0
38474,Devotion,1381,1946,3
38494,Dressed to Kill,4002,1946,3
38650,It&#39;s a Wonderful Life,2235,1946,3
38733,Stairway to Heaven,1231,1946,0
38762,My Darling Clementine,3783,1946,1
38499,Duel in the sun,4900,1946,2
38355,"Big Sleep, The",971,1946,1
39054,Two Sisters from Boston,1680,1946,3
38559,Gilda,2809,1946,0
38409,"Chase, The",5497,1946,1
38991,"Stranger, The",7671,1946,3
39017,Terror by Night,5872,1946,1
38854,"Postman Always Rings Twice, The",1424,1946,1
38589,"Harvey Girls, The",786,1946,3
39650,Nada,7432,1947,3
39236,Calendar Girl,5779,1947,2
39420,"Ghost and Mrs. Muir, The",3047,1947,3
39819,"Shocking Miss Pilgrim, The",1681,1947,3
39441,Gunfighters,3112,1947,2
39689,Build My Gallows High,6550,1947,2
39349,"Egg and I, The",2287,1947,3
39360,"Exile, The",1235,1947,1
39192,Black Narcissus,1211,1947,3
39694,"Paradine Case, The",2330,1947,2
39677,Odd Man Out,1278,1947,2
39431,Good News,1679,1947,2
39286,Crossfire,4411,1947,2
40725,"Red Shoes, The",1229,1948,3
40321,Enchantment,1241,1948,3
41088,Act of Violence,4944,1948,2
40746,Rope,2040,1948,0
40242,Command Decision,1354,1948,0
40214,Casbah,2256,1948,1
40522,Bicycle Thieves,6517,1948,2
40416,Hamlet,1232,1948,1
40183,Bonnie Prince Charlie,1236,1948,2
40379,"Fuller Brush Man, The",2300,1948,1
40308,Easter Parade,1677,1948,3
40724,Red River,1320,1948,0
40613,Mr. Blandings Builds His Dream House,2445,1948,3
40897,"Treasure of the Sierra Madre, The",3239,1948,0
40491,Joan of Arc,6363,1948,3
156031,Rudolph the Red-Nosed Reindeer,1601,1948,0
40098,Anna Karenina,1262,1948,2
40806,"Snake Pit, The",2098,1948,3
40202,Call Northside 777,5115,1948,1
40458,I Remember Mama,4390,1948,3
41498,I Was a Male War Bride,7018,1949,2
41650,Mighty Joe Young,2651,1949,0
41386,"Fountainhead, The",4554,1949,1
41716,On the Town,1690,1949,3
41746,Pinky,1736,1949,3
41546,Kind Hearts and Coronets,4008,1949,1
41594,Little Women,2232,1949,3
41094,"Adventures of Ichabod and Mr. Toad, The",7059,1949,0
41859,"Set-Up, The",1986,1949,0
41628,"Man on the Eiffel Tower, The",2849,1949,2
40221,Caught,1841,1949,3
42004,Under Capricorn,7341,1949,3
41158,"Barkleys of Broadway, The",1684,1949,3
41090,Adam&#39;s Rib,1716,1949,3
41154,Late Spring,3539,1949,3
41587,A Letter to Three Wives,3967,1949,3
41452,"Heiress, The",6358,1949,3
41959,"Third Man, The",611,1949,0
42958,Scandal,7144,1950,3
42192,All About Eve,139,1950,3
43871,Odette,4521,1950,3
43012,Summer Stock,1678,1950,3
42994,Stage Fright,6233,1950,3
42876,Rashomon,1402,1950,0
42276,Born Yesterday,3990,1950,3
42593,In a Lonely Place,4417,1950,2
42546,Harvey,2596,1950,2
43014,Sunset Blvd.,608,1950,1
42369,D.O.A.,5350,1950,1
42208,"Asphalt Jungle, The",2099,1950,1
42792,No Way Out,5232,1950,3
42332,Cinderella,1057,1950,3
42469,"Flying Saucer, The",4031,1950,1
41719,Orpheus,3295,1950,2
43614,"Idiot, The",7157,1951,3
44205,Westward the Women,6498,1951,3
42619,Diary of a Country Priest,2989,1951,1
43313,Early Summer,3222,1951,3
43949,Quo Vadis,5092,1951,3
44030,Show Boat,2977,1951,3
43332,Bellissima,3825,1951,3
44121,"Thing from Another World, The",3293,1951,1
44081,A Streetcar Named Desire,2930,1951,3
44100,Take Care of My Little Girl,4510,1951,3
44079,Strangers on a Train,1417,1951,2
43274,Alice in Wonderland,1207,1951,3
43456,"Day the Earth Stood Still, The",1916,1951,3
44092,Surcos,7435,1951,3
43338,Ace In The Hole,871,1951,2
43278,An American in Paris,3389,1951,1
43390,Cause for Alarm!,5739,1951,3
43265,"African Queen, The",1491,1951,0
44391,"Bad and the Beautiful, The",7323,1952,2
44706,High Noon,2704,1952,2
44419,"Big Sky, The",1465,1952,0
44837,Limelight,6917,1952,1
45162,"Snows of Kilimanjaro, The",6941,1952,1
44502,Clash by Night,3403,1952,3
44855,Lovely to Look at,1689,1952,3
43769,"Magic Box, The",1243,1952,2
45152,Singin&#39; in the Rain,612,1952,3
43686,Forbidden Games,5972,1952,3
44741,Ikiru,7162,1952,1
45061,"Quiet Man, The",2737,1952,1
46487,Mr. Hulot&#39;s Holiday,5937,1953,3
45826,Glen or Glenda,6797,1953,0
46085,Mogambo,1362,1953,2
45877,"Hitch-Hiker, The",4301,1953,0
45659,"Cruel Sea, The",2553,1953,3
46303,Shane,3303,1953,1
46250,Roman holiday,1554,1953,3
47677,"Wild One, The",7693,1953,1
46345,Summer with Monika,5998,1953,3
45555,"Big Heat, The",4854,1953,3
45943,Julius Caesar,1272,1953,1
45891,How to Marry a Millionaire,4909,1953,3
45793,From Here to Eternity,4071,1953,3
46478,Ugetsu,5973,1953,2
46534,"War of the Worlds, The",2375,1953,1
45537,"Band Wagon, The",1692,1953,1
46269,Salome,3125,1953,3
45897,I Confess,4616,1953,1
45758,Fear and Desire,5366,1953,0
46187,Pickup on South Street,5736,1953,3
46066,Mesa of Lost Women,3958,1953,1
45810,Gentlemen Prefer Blondes,2547,1953,3
46438,Tokyo Story,1630,1953,3
46076,Miss Sadie Thompson,3124,1953,3
45591,Calamity Jane,2427,1953,3
46268,Le Salaire de la Peur,1444,1953,1
46183,Peter Pan,1118,1953,3
46359,Stalag 17,1883,1953,0
45665,Comicos,7610,1954,3
47349,Phffft,586,1954,2
47136,Johnny Guitar,1694,1954,2
47443,Salt of the Earth,5356,1954,3
47094,Hobson&#39;s Choice,2426,1954,3
47673,White Christmas,1391,1954,3
47573,Them!,2158,1954,1
47834,Animal Farm,7346,1954,0
46876,Creature from the Black Lagoon,4883,1954,0
46963,Executive Suite,3925,1954,2
47396,Rear Window,2132,1954,3
47522,A Star Is Born,3674,1954,1
47638,Uwasa no onna,7580,1954,3
46672,20000 Leagues Under the Sea,1965,1954,0
46451,Touchez pas au grisbi,657,1954,1
46511,Journey to Italy,3954,1954,3
47296,On the Waterfront,1812,1954,0
47030,"Glenn Miller Story, The",3993,1954,2
46731,Attila,5124,1954,2
47034,Gojira,5505,1954,1
46912,Dial M for Murder,3337,1954,0
47437,Sabrina,2294,1954,1
47152,Knock on Wood,2746,1954,1
47472,Seven Brides for Seven Brothers,1351,1954,3
47478,Shichinin no samurai,3600,1954,0
46750,Late Chrysanthemuns,4710,1954,3
47580,Three Coins in the Fountain,4048,1954,3
48512,"Prisoner, The",7262,1955,0
48424,"Night of the Hunter, The",878,1955,3
48021,Rififi,3404,1955,1
48673,Summertime,5165,1955,3
47878,"Big Combo, The",3339,1955,2
48696,Tarantula,4108,1955,0
47577,This Island Earth,6468,1955,0
48124,"Glass Slipper, The",6481,1955,3
48605,"Seven Year Itch, The",4896,1955,1
46911,Diabolique,2344,1955,3
47969,Daddy Long Legs,1693,1955,3
48641,Sommarnattens leende (Smiles of a Summer Night),1735,1955,2
46889,"Dam Busters, The",2552,1955,1
48545,Rebel Without a Cause,2926,1955,1
48356,Marty,4442,1955,3
48401,My Sister Eileen,6615,1955,3
48127,Godzilla Raids Again,6055,1955,2
48140,Guys and Dolls,2115,1955,3
48445,Oklahoma!,4754,1955,3
48280,Lady and the Tramp,1170,1955,2
48801,We&#39;re No Angels,3739,1955,3
48750,"Trouble with Harry, The",7360,1955,2
