id,imdbId,title,release_date,original_language,vote_average,vote_count,budget,revenue,runtime,genres_id,countries_id,companies_id,year,test,binary,directors_id,writers_id
33613,tt1343097,The Girl Who Kicked the Hornet's Nest,27/00/2009,sv,6.9,406,4000000,43498108,147,28 53 80 9648,SE,235 3221 5746 5747 17513,2009,pass,PASS,76325,95405
13811,tt0448011,Knowing,19/00/2009,en,5.8,1322,50000000,155446362,121,28 12 18 9648 878 53,GB US AU,491 908 1423 11843 11844 11845,2009,notalk,FAIL,21085,56052 84961 84962
13183,tt0409459,Watchmen,05/00/2009,en,7.0,2542,130000000,185258983,163,28 9648 878,US,4 429 840 923 6194 78685,2009,pass,PASS,15217,10995 74258
24253,tt1216487,The Girl Who Played with Fire,18/00/2009,sv,6.9,509,0,66995253,129,18 28 53 80 9648,DE SE DK,235 3221 4606 5747 7446 17513 33821 33822,2009,pass,PASS,76325,92646
8952,tt1045772,I Love You Phillip Morris,18/00/2009,en,6.4,459,13000000,10652035,98,35 18 10749,US,6896,2009,notalk,FAIL,56411 56412,56412 56411
38645,tt1123894,And Then Came Lola,01/00/2009,en,6.3,13,0,0,71,35 18,,,2009,pass,PASS,121686 121687,
1450,tt0806027,Blood: The Last Vampire,02/00/2009,ja,5.1,85,0,0,91,28 12 27 878 53,JP HK CN FR,3689 11552 11553,2009,pass,PASS,21931,52910
58251,tt1426362,Daddy Longlegs,16/00/2009,en,6.3,3,0,20728,100,18 35,FR US,1873 44643 80099,2009,notalk,FAIL,227564 129561,129561 227564 227565
24803,tt1135503,Julie & Julia,06/00/2009,en,6.5,511,40000000,129540499,123,10749 18,US,5 258 11804,2009,pass,PASS,9248,9248
28874,tt1474276,Summer Wars,01/00/2009,ja,7.4,237,0,80768,114,16,JP,4288 13695,2009,pass,PASS,81718,81721
26280,tt1424797,I Killed My Mother,05/00/2009,fr,7.6,265,0,0,96,18,CA,4476 25562 25563,2009,men,FAIL,143593,143593 143593
18320,tt0962736,The Young Victoria,04/00/2009,en,7.0,292,35000000,27409889,105,18 36 10749,GB US,3281,2009,pass,PASS,,
53445,tt1268989,The Unloved,17/00/2009,en,6.4,11,0,0,106,18 10769,GB,1917 9349,2009,pass,PASS,2206,2206 19725
14254,tt0815245,The Uninvited,30/00/2009,en,6.2,357,0,41624046,87,18 27 53,CA,27 384 829 2363 2364 23856,2009,pass,PASS,81201 223886,
19255,tt1176740,Away We Go,05/00/2009,en,6.7,175,17000000,14899417,98,18 35 10749,US,188 1522 10146,2009,pass,PASS,39,84414 84415
19898,tt1188729,Pandorum,08/00/2009,en,6.5,704,33000000,20645327,108,28 27 9648 878 53,DE GB,248 5755,2009,notalk,FAIL,54559,254681
33511,tt1266029,Nowhere Boy,25/00/2009,en,7.2,222,0,0,98,18,CA GB,1267 2452 9349 9987 91542 91543,2009,pass,PASS,1137903,45053
64631,tt1273204,David's Birthday,08/00/2009,it,5.4,12,0,0,106,18 10749 10769 9648,IT,,2009,pass,PASS,78708,239477 78708
18947,tt1131729,The Boat That Rocked,01/00/2009,en,7.1,588,50000000,36348784,116,18 35,DE GB FR,33 5870 10163 12196 12197 12198,2009,pass,PASS,7018,7018
12573,tt1019452,A Serious Man,02/00/2009,en,6.6,430,7000000,31430334,105,35 18,US GB FR,2092 5870 7295 10146 10163,2009,men,FAIL,1224 1223,1223 1224
8355,tt1080016,Ice Age: Dawn of the Dinosaurs,29/00/2009,en,6.5,1975,90000000,886686817,94,16 35 10751 12,US,9383 11749,2009,notalk,FAIL,5714,5717 5716
29182,tt0914837,44 Inch Chest,08/00/2009,en,5.9,33,0,0,95,18 80,GB,7437 10039 24419 24420 24421 24422,2009,notalk,FAIL,103150,57317 57318
172480,tt2177683,Reservoir Hill,,en,0.0,0,0,0,0,,,,,pass,PASS,,
21208,tt1148204,Orphan,24/00/2009,en,6.7,1118,20000000,41596251,123,27 53 9648,CA FR DE US,1786 4252 4253 5870,2009,pass,PASS,59521,142686
23706,tt0881891,All About Steve,04/00/2009,en,4.7,272,15000000,40105542,99,35,US,444 711 4258 6332 14718,2009,pass,PASS,78562,29010
24116,tt0493451,The Skeptic,01/00/2009,en,5.1,25,0,0,89,27 53,US,,2009,notalk,FAIL,91026,
36577,tt1425928,Vampire Girl vs. Frankenstein Girl,09/00/2009,ja,5.3,22,0,0,84,35 10769 27,JP,,2009,pass,PASS,112280 80762,
12244,tt0472033,9,19/00/2009,en,6.6,1174,30000000,48428063,79,28 12 16 878 53,US,1268 2885 7295 8601 10280,2009,nowomen,FAIL,71923,71923 34892
16558,tt1135487,Duplicity,19/00/2009,en,5.7,190,78146652,60000000,125,10749 35 80,DE US,33 5163 7295 27317,2009,men,FAIL,19242,19242
38150,tt1220214,Heartless,21/00/2009,en,6.2,63,0,0,114,18 27 53,GB,707 2268 2451 5705 21460 21461,2009,notalk,FAIL,87213,87213
44680,tt1493886,The Wild Hunt,09/00/2009,fr,6.3,19,0,0,96,28 12 35 18 878 53,CA,,2009,notalk,FAIL,131249,131249
22843,tt0860906,Evangelion: 2.0 You Can (Not) Advance,26/00/2009,ja,7.7,120,0,41162041,108,16 878 28 18,JP,4145,2009,pass,PASS,77926 77923 77921,77921
25754,tt1290135,Children of the Corn,26/00/2009,en,4.3,38,4500000,0,92,18 27 53,US,4417,2009,notalk,FAIL,19172,19172 3027 3027 19172
26693,tt1422675,Ju-on: White Ghost,27/00/2009,ja,5.9,25,0,0,61,27,JP,4562 4563 9221,2009,pass,PASS,1111194,1111194
255508,tt1362534,Butter bei die Fische,14/00/2009,de,2.0,2,0,0,,10770,DE,,2009,pass,PASS,57763,1092002
285931,tt1082876,Tales from the Catholic Church of Elvis!,01/00/2009,en,0.0,0,0,0,0,18 35,US,,2009,pass,PASS,1046538 155293,155293
185377,tt3671900,Gehara: The Dark and Long-Haired Monster,24/00/2009,en,7.0,1,0,0,20,35 878 27 28 14,,,2009,nowomen,FAIL,1168094,
26367,tt1385912,I Can Do Bad All By Myself,11/00/2009,en,5.9,37,0,0,113,18 35,US,35,2009,notalk,FAIL,80602,80602
27567,tt1187044,The Maid,16/00/2009,es,6.7,20,0,0,115,35 18,MX CL,15224 40230 62281,2009,pass,PASS,98251,98251 98252
22051,tt1185836,Adam,29/00/2009,en,6.9,139,0,2277396,99,18 10749,US,3279 3459 7400 9352 9353,2009,men,FAIL,100516,100516
26032,tt1305714,Make the Yuletide Gay,01/00/2009,en,6.0,21,0,0,89,18 35 10749,US,328 4453,2009,pass,PASS,84568,84568
24684,tt1174732,An Education,29/00/2009,en,6.9,368,7500000,26096852,100,18 10749,GB US,288,2009,pass,PASS,1176,3225
33997,tt1054580,Desert Flower,24/00/2009,en,7.3,73,0,44348,120,18,AT DE GB,5379 5380 5381 5383,2009,pass,PASS,46203,
29151,tt0790627,Brief Interviews with Hideous Men,19/00/2009,en,5.1,17,0,0,80,35 18 10749,US,57094 66334,2009,nowomen,FAIL,17697,17697
16869,tt0361748,Inglourious Basterds,18/00/2009,en,7.9,5736,70000000,319131050,153,18 28 53 10752,DE US,33 59 308 6817 6818,2009,pass,PASS,138,138
34647,tt1191111,Enter the Void,05/00/2009,en,7.2,347,13000000,754249,161,14 18,JP,225 856,2009,notalk,FAIL,14597,14597
16523,tt0386117,Where the Wild Things Are,16/00/2009,en,6.4,513,100000000,100086793,101,10751 14,US,79 923 4171 5289 6194,2009,notalk,FAIL,5953,5953 84414
46207,tt1135952,White Material,24/00/2010,fr,7.3,31,0,0,102,18,CM FR,729 856 16804,2010,pass,PASS,9888,9888 213450 213451
